name,number_female,number_male,prob_female,prob_male,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
Terran,5,67,0,0.7068783068783069,0,0,0,0,34,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0
Terrance,10,64546,0,0.989089004626262,21,1802,653,524,3765,450,540,505,71,1663.5,2450,54,797,21,4706,1345,552,581,1233,662,976,313,4231,2074,1529,1639,138,1550,475,405,15,1565,109,70,4359,3713,615,286,3423,6,1510,291,1994,3649,76,1154,56,881,1989,168,5
Terre,83,0,0.8943436499466382,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,31,0,0,0,0,0,0,0
Terrea,14,0,1,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terrel,0,687,0,0.9726258871240284,0,10,0,0,85,0,6,0,0,54,5,0,0,0,30,0,0,0,103,5,5,0,16,0,5,0,0,27,0,0,0,21,0,0,197,5,0,0,24,0,5,0,0,79,0,5,0,0,0,0,0
Terrell,122,31159,0,0.9563865499972484,0,1310,273,115,1058.5,83,250,363,0,1033,1121.5,0,10,34,2391,579,100,198,873.5,177,569,0,1489,122,1053,793,5,1041,0,39,0,977,45,19,1149,1272,333,11,684,0,808,0,966,1826,14,560,0,157,331,0,0
Terrelle,0,11,0,0.9430485762144054,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terren,5,19,0,0.7547169811320755,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terrence,6,67012,0,0.992594154019112,20,1267,361,366,4100,397,868,819,82,2906,2037,228,582,37,7048,1493,425,527,2014,1329,1228,245,3844,1589,1657,1086,55,1614,213,453,12,2209,107,57,6818,2410,365,302,3844,189,1159,151,1422,2640,12,1311,22,743,1787,158,0
Terresa,286,0,1,0,0,5,0,0,95,0,0,0,0,5,6,0,0,0,5,7,5,0,0,0,0,0,5,0,0,0,0,11,0,0,0,0,0,0,0,21,6,0,0,0,0,0,16,77,0,12,0,10,0,0,0
Terressa,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Terri,143381,40,0.9937556240285768,0,210,3039,1887,1241,7250.5,1939,930,941,342,4346,4121,383,2450,796,6382,5290,2441,2833,3144,1482,2493,730,7529,2696,4193,1467,720,3478,468,1508,339,2417,771,258,3077.5,9311,3109,1641,7196,200,1790,502,3177,4754,1078,2924,221,2896,3482,2128,338
Terria,30,0,1,0,0,0,0,0,0,0,0,0,0,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
